Date,Total
9/16/2022,152473
9/17/2022,125967
9/18/2022,127057
9/19/2022,152503
9/20/2022,151850
9/21/2022,152822
9/22/2022,152904
9/23/2022,152050
9/24/2022,133870
9/25/2022,134454
9/26/2022,153258
9/27/2022,153427
9/28/2022,153593
9/29/2022,153734
9/30/2022,153756
10/1/2022,136900
10/2/2022,137361
10/3/2022,134737
10/4/2022,154474
10/5/2022,154756
10/6/2022,155006
10/7/2022,155187
10/8/2022,140754
10/9/2022,138462
10/10/2022,155729
10/11/2022,155993
10/12/2022,156260
10/13/2022,156523
10/14/2022,156529
10/15/2022,142007
10/16/2022,142774
10/17/2022,157308
10/18/2022,157580
10/19/2022,157815
10/20/2022,158027
10/21/2022,158220
10/22/2022,139884
10/23/2022,139927
10/24/2022,158646
10/25/2022,158815
10/26/2022,158993
10/27/2022,159137
10/28/2022,158398
10/29/2022,135446
10/30/2022,137949
10/31/2022,150725
11/1/2022,147225
11/2/2022,159765
11/3/2022,159878
11/4/2022,159975
11/5/2022,135574
11/6/2022,133602
11/7/2022,160224
11/8/2022,160331
11/9/2022,160440
11/10/2022,160530
11/11/2022,160410
11/12/2022,138178
11/13/2022,135919
11/14/2022,160809
11/15/2022,160910
11/16/2022,160850
11/17/2022,161088
11/18/2022,160828
11/19/2022,135716
11/20/2022,137434
11/21/2022,161220
11/22/2022,161250
11/23/2022,161616
11/24/2022,161711
11/25/2022,161655
11/26/2022,138219
11/27/2022,138969
11/28/2022,162111
11/29/2022,162240
11/30/2022,162367
12/1/2022,162309
12/2/2022,162642
12/3/2022,137967
12/4/2022,142037
12/5/2022,162944
12/6/2022,163109
12/7/2022,163278
12/8/2022,163451
12/9/2022,162926
12/10/2022,142394
12/11/2022,143135
12/12/2022,163356
12/13/2022,164034
12/14/2022,163409
12/15/2022,164578
12/16/2022,164768
12/17/2022,144816
12/18/2022,144048
12/19/2022,165245
12/20/2022,165487
12/21/2022,165684
12/22/2022,165896
12/23/2022,165852
12/24/2022,141726
12/25/2022,144402
12/26/2022,146857
12/27/2022,164922
12/28/2022,164715
12/29/2022,165325
12/30/2022,164544
12/31/2022,141402
1/1/2023,142571
1/2/2023,166593
1/3/2023,166668
1/4/2023,167230
1/5/2023,167331
1/6/2023,156245
1/7/2023,133285
1/8/2023,134637
1/9/2023,167647
1/10/2023,167507
1/11/2023,167150
1/12/2023,167736
1/13/2023,167756
1/14/2023,128871
1/15/2023,132758
1/16/2023,168329
1/17/2023,167876
1/18/2023,168427
1/19/2023,166925
1/20/2023,166904
1/21/2023,127561
1/22/2023,129057
1/23/2023,168715
1/24/2023,168201
1/25/2023,168468
1/26/2023,168711
1/27/2023,168854
1/28/2023,131287
1/29/2023,133687
1/30/2023,167919
1/31/2023,168242
2/1/2023,169236
2/2/2023,168531
2/3/2023,168663
2/4/2023,129317
2/5/2023,136498
2/6/2023,169334
2/7/2023,169259
2/8/2023,168993
2/9/2023,169375
2/10/2023,169417
2/11/2023,139130
2/12/2023,139435
2/13/2023,170099
2/14/2023,170057
2/15/2023,170301
2/16/2023,170400
2/17/2023,170003
2/18/2023,140570
2/19/2023,142253
2/20/2023,167646
2/21/2023,170247
2/22/2023,170941
2/23/2023,171030
2/24/2023,169399
2/25/2023,143129
2/26/2023,139555
2/27/2023,171074
2/28/2023,171414
3/1/2023,170167
3/2/2023,171353
3/3/2023,171032
3/4/2023,133921
3/5/2023,132666
3/6/2023,171881
3/7/2023,171783
3/8/2023,171019
3/9/2023,170958
3/10/2023,171762
3/11/2023,134895
3/12/2023,137544
3/13/2023,172347
3/14/2023,172153
3/15/2023,171962
3/16/2023,171798
3/17/2023,171103
3/18/2023,132962
3/19/2023,130512
3/20/2023,172794
3/21/2023,172481
3/22/2023,173006
3/23/2023,172613
3/24/2023,170204
3/25/2023,131319
3/26/2023,121410
3/27/2023,173236
3/28/2023,171421
3/29/2023,170983
3/30/2023,169316
3/31/2023,168635
4/1/2023,122995
4/2/2023,118356
4/3/2023,171545
4/4/2023,168925
4/5/2023,166578
4/6/2023,165869
4/7/2023,107889
4/8/2023,111602
4/9/2023,112696
4/10/2023,116533
4/11/2023,168902
4/12/2023,166379
4/13/2023,168402
4/14/2023,162718
4/15/2023,106825
4/16/2023,105849
4/17/2023,170022
4/18/2023,166851
4/19/2023,160915
4/20/2023,161031
4/21/2023,157121
4/22/2023,101424
4/23/2023,104359
4/24/2023,166784
4/25/2023,163516
4/26/2023,161832
4/27/2023,156934
4/28/2023,151464
4/29/2023,93885
4/30/2023,94627
5/1/2023,95105
5/2/2023,163348
5/3/2023,158427
5/4/2023,152559
5/5/2023,150489
5/6/2023,87020
5/7/2023,77553
5/8/2023,160794
5/9/2023,155692
5/10/2023,150304
5/11/2023,143937
5/12/2023,134598
5/13/2023,75213
5/14/2023,66666
5/15/2023,151511
5/16/2023,142577
5/17/2023,140949
5/18/2023,66545
5/19/2023,126696
5/20/2023,74429
5/21/2023,70257
5/22/2023,146297
5/23/2023,133130
5/24/2023,130610
5/25/2023,124033
5/26/2023,116232
5/27/2023,44383
5/28/2023,66912
5/29/2023,68829
5/30/2023,135217
5/31/2023,129806
6/1/2023,124229
6/2/2023,112736
6/3/2023,49603
6/4/2023,49509
6/5/2023,120569
6/6/2023,118854
6/7/2023,108974
6/8/2023,65579
6/9/2023,110496
6/10/2023,43690
6/11/2023,40470
6/12/2023,112927
6/13/2023,107481
6/14/2023,91662
6/15/2023,85459
6/16/2023,78017
6/17/2023,37255
6/18/2023,25874
6/19/2023,104375
6/20/2023,93917
6/21/2023,82993
6/22/2023,87842
6/23/2023,65003
6/24/2023,28859
6/25/2023,25493
6/26/2023,84435
6/27/2023,83476
6/28/2023,70775
6/29/2023,65275
6/30/2023,64101
7/1/2023,26117
7/2/2023,25219
7/3/2023,80992
7/4/2023,67998
7/5/2023,74729
7/6/2023,74758
7/7/2023,59946
7/8/2023,34098
7/9/2023,34222
7/10/2023,95190
7/11/2023,83366
7/12/2023,80738
7/13/2023,79574
7/14/2023,72170
7/15/2023,39416
7/16/2023,28887
7/17/2023,84919
7/18/2023,76391
7/19/2023,77351
7/20/2023,77704
7/21/2023,79666
7/22/2023,47477
7/23/2023,44602
7/24/2023,96853
7/25/2023,97559
7/26/2023,93428
7/27/2023,92566
7/28/2023,85869
7/29/2023,46439
7/30/2023,55731
7/31/2023,104358
8/1/2023,106815
8/2/2023,98143
8/3/2023,92521
8/4/2023,96667
8/5/2023,57981
8/6/2023,56343
8/7/2023,117144
8/8/2023,115018
8/9/2023,108811
8/10/2023,113465
8/11/2023,107729
8/12/2023,76878
8/13/2023,65647
8/14/2023,145835
8/15/2023,125924
8/16/2023,136650
8/17/2023,134516
8/18/2023,130962
8/19/2023,78110
8/20/2023,75812
8/21/2023,143068
8/22/2023,141627
8/23/2023,133686
8/24/2023,132462
8/25/2023,125598
8/26/2023,85259
8/27/2023,66400
8/28/2023,149851
8/29/2023,142843
8/30/2023,142680
8/31/2023,142856
9/1/2023,132742
9/2/2023,88379
9/3/2023,87784
9/4/2023,148470
9/5/2023,150777
9/6/2023,153363
9/7/2023,157833
9/8/2023,149331
9/9/2023,99727
9/10/2023,96198
9/11/2023,161044
9/12/2023,159298
9/13/2023,152263
9/14/2023,153212
9/15/2023,147218
9/16/2023,103008
9/17/2023,96307
9/18/2023,164057
9/19/2023,161469
9/20/2023,157209
9/21/2023,157105
9/22/2023,154256
9/23/2023,90401
9/24/2023,94076
9/25/2023,164745
9/26/2023,162929
9/27/2023,160692
9/28/2023,161599
9/29/2023,154531
9/30/2023,99874
10/1/2023,103456
10/2/2023,160909
10/3/2023,110940
10/4/2023,164934
10/5/2023,163108
10/6/2023,163183
10/7/2023,104065
10/8/2023,102957
10/9/2023,168109
10/10/2023,165634
10/11/2023,162526
10/12/2023,160879
10/13/2023,146717
10/14/2023,50727
10/15/2023,41082
10/16/2023,117723
