Date,Total
2021-10-07,4229247.0
2021-10-08,4226196.0
2021-10-09,4221926.0
2021-10-10,4221134.0
2021-10-11,4255431.0
2021-10-12,4270456.0
2021-10-13,4288235.0
2021-10-14,4293712.0
2021-10-15,4313546.0
2021-10-16,4300260.0
2021-10-17,4295068.0
2021-10-18,4343001.0
2021-10-19,4362469.0
2021-10-20,4382323.0
2021-10-21,4388866.0
2021-10-22,4415079.0
2021-10-23,4406905.0
2021-10-24,4404564.0
2021-10-25,4462533.0
2021-10-26,4484668.0
2021-10-27,4507700.0
2021-10-28,4527346.0
2021-10-29,4550749.0
2021-10-30,4555193.0
2021-10-31,4566951.0
2021-11-01,4600212.0
2021-11-02,4636681.0
2021-11-03,4668467.0
2021-11-04,4699630.0
2021-11-05,4731973.0
2021-11-06,4742840.0
2021-11-07,4763878.0
2021-11-08,4818857.0
2021-11-09,4852278.0
2021-11-10,4906016.0
2021-11-11,4938864.0
2021-11-12,4974610.0
2021-11-13,4996329.0
2021-11-14,5037108.0
2021-11-15,5107757.0
2021-11-16,5164995.0
2021-11-17,5223557.0
2021-11-18,5280595.0
2021-11-19,5340460.0
2021-11-20,5353381.0
2021-11-21,5399175.0
2021-11-22,5476424.0
2021-11-23,5540764.0
2021-11-24,5607935.0
2021-11-25,5670141.0
2021-11-26,5730349.0
2021-11-27,5735174.0
2021-11-28,5762768.0
2021-11-29,5860771.0
2021-11-30,5925875.0
2021-12-01,5993034.0
2021-12-02,6052629.0
2021-12-03,6111008.0
2021-12-04,6114876.0
2021-12-05,6143901.0
2021-12-06,6233232.0
2021-12-07,6293810.0
2021-12-08,6352429.0
2021-12-09,6403105.0
2021-12-10,6450326.0
2021-12-11,6430711.0
2021-12-12,6387808.0
2021-12-13,6543382.0
2021-12-14,6594055.0
2021-12-15,6639528.0
2021-12-16,6680136.0
2021-12-17,6717605.0
2021-12-18,6683384.0
2021-12-19,6679945.0
2021-12-20,6793111.0
2021-12-21,6833015.0
2021-12-22,6867979.0
2021-12-23,6899670.0
2021-12-24,6860685.0
2021-12-25,6893079.0
2021-12-26,6877731.0
2021-12-27,6960148.0
2021-12-28,7032466.0
2021-12-29,7070839.0
2021-12-30,7108580.0
2021-12-31,7112279.0
2022-01-01,7082943.0
2022-01-02,7122157.0
2022-01-03,7236091.0
2022-01-04,7293125.0
2022-01-05,7350113.0
2022-01-06,7401230.0
2022-01-07,7432008.0
2022-01-08,7451937.0
2022-01-09,7429611.0
2022-01-10,7594066.0
2022-01-11,7674955.0
2022-01-12,7757216.0
2022-01-13,7838763.0
2022-01-14,7911894.0
2022-01-15,7959348.0
2022-01-16,7837121.0
2022-01-17,8129369.0
2022-01-18,8254628.0
2022-01-19,8390062.0
2022-01-20,8528686.0
2022-01-21,8662538.0
2022-01-22,8707075.0
2022-01-23,8704752.0
2022-01-24,8999456.0
2022-01-25,9187915.0
2022-01-26,9376751.0
2022-01-27,9566308.0
2022-01-28,9750322.0
2022-01-29,9806630.0
2022-01-30,9727258.0
2022-01-31,10138634.0
2022-02-01,10365075.0
2022-02-02,10596967.0
2022-02-03,10826250.0
2022-02-04,11032239.0
2022-02-05,11040423.0
2022-02-06,11077375.0
2022-02-07,11455714.0
2022-02-08,11692481.0
2022-02-09,11925649.0
2022-02-10,12142620.0
2022-02-11,12342171.0
2022-02-12,12366991.0
2022-02-13,12288357.0
2022-02-14,12723656.0
2022-02-15,12942512.0
2022-02-16,13160877.0
2022-02-17,13363967.0
2022-02-18,13539137.0
2022-02-19,13553093.0
2022-02-20,13327731.0
2022-02-21,13887556.0
2022-02-22,14095654.0
2022-02-23,14292021.0
2022-02-24,14473330.0
2022-02-25,14639122.0
2022-02-26,14526550.0
2022-02-27,14170793.0
2022-02-28,14928068.0
2022-03-01,15153126.0
2022-03-02,15353500.0
2022-03-03,15558369.0
